taxon_no,taxon_name
59890,Craspedopomatidae
58137,Craspedostomatidae
59901,Crassatellidae
119407,Crassilinidae
57987,Crassimarginatidae
185883,Crassitudochitonidae
127290,Crassumbidae
81369,Craticulariidae
168793,Cravenechinidae
93006,Cravenoceratidae
124983,Cremnorthidae
243999,Crenellidae
117702,Crepicephalidae
330086,Crepidacanthidae
141520,Crestjahitidae
347258,Cretitanaidae
63014,Cretoxyrhinidae
118664,Cribrilinidae
81304,Cribrospongiidae
70207,Cribrothalamiidae
304670,Cricocosmiidae
131060,Crioceratitidae
327112,Crisiidae
327114,Crisinidae
123542,Cromyocrinidae
206793,Crossorhinidae
226091,Crossotonotidae
329699,Crownoporidae
194217,Crustoporidae
89031,Cryptaulacidae
70155,Cryptocoeliidae
151353,Cryptocrinitidae
116141,Cryptolichenariidae
125764,Cryptonellidae
104323,Cryptoporidae
118682,Cryptosulidae
124214,Cryptotretidae
124923,Ctenacanthidae
63277,Ctenochelidae
231368,Ctenocystidae
59935,Ctenodontidae
259188,Ctenonotellidae
59945,Cucullaeidae
59946,Cucumariidae
116553,Cuifastraeidae
117326,Cunnolitidae
85348,Cupithecidae
94447,Cupressocrinitidae
82188,Cupuladriidae
86729,Cupulocrinidae
124204,Curticiidae
58334,Curtoseriidae
59984,Cuspidariidae
328063,Cuvierinidae
59987,Cyamiidae
150143,Cyathaspididae
110336,Cyathaxoniidae
86765,Cyathocrinitidae
241684,Cyathocystidae
55368,Cyathophoridae
98634,Cyathophyllidae
110449,Cyathopsidae
124165,Cyclacanthariidae
118683,Cyclicoporidae
86936,Cycloceltitidae
348170,Cyclocharacidae
124984,Cyclocoeliidae
59992,Cycloconchidae
305906,Cyclocrinidae
103244,Cyclocystoididae
93911,Cyclodorippidae
96098,Cyclolitidae
93147,Cyclolobidae
205758,Cyclomischidae
59993,Cyclophoridae
116150,Cyclophylliidae
108259,Cyclophyllopsiidae
133735,Cyclopygidae
127069,Cyclospiridae
103594,Cyclostomiceratidae
81035,Cyclothyrididae
60003,Cylichnidae
64733,Cylindrobullinidae
91511,Cylindroleberididae
70264,Cylindrophymatidae
93176,Cymaclymeniidae
60009,Cymatiidae
122377,Cymatoceratidae
220082,Cymbiocrinidae
193674,Cymbitidae
223185,Cymonomidae
265780,Cynodontidae
82283,Cynoglossidae
81308,Cypelliidae
60047,Cypraeidae
98348,Cyprididae
290550,Cypridinellidae
186924,Cypridinelliformidae
186942,Cypridinidae
64192,Cyprinidae
266188,Cyprinodontidae
122480,Cyrtendoceratidae
123363,Cyrtiidae
81129,Cyrtinidae
127419,Cyrtinopsidae
122463,Cyrtocerinidae
93174,Cyrtoclymeniidae
60053,Cyrtodontidae
127937,Cyrtogomphoceratidae
58428,Cyrtolitidae
70839,Cyrtonellidae
122116,Cyrtophyllidae
97461,Cyrtospiriferidae
110486,Cystiphyllidae
89607,Cystiscidae
189776,Cystispongiidae
118732,Cystodictyonidae
142249,Cytherellidae
82106,Cytheridae
82086,Cytherideidae
142899,Cytherissinellidae
162995,Cytheruridae
57395,Cyzicidae
68662,Dactylioceratidae
189091,Dactylocalycidae
157879,Dactylocrinidae
318416,Dadocrinidae
222867,Dakoticancridae
89227,Dalatiidae
130731,Dallinidae
86571,Dalmanellidae
85376,Dalmanitidae
155009,Damesellidae
70840,Damilinidae
86687,Danubitidae
100273,Dapediidae
277028,Daphniidae
337071,Dapsilodontidae
93230,Daraelitidae
63613,Dasyatidae
127046,Davidsoniidae
126834,Davidsoninidae
124723,Daviesiellidae
127791,Dawsonoceratidae
86576,Dayiidae
199084,Debeeriidae
94454,Decadocrinidae
93003,Delepinoceratidae
116322,Delphinulopsidae
124138,Delthyrididae
171450,Deltoceratidae
82418,Deltopectinidae
244785,Deltoptychiidae
168491,Dendrasteridae
86727,Dendrocrinidae
303861,Dendrogastridae
88802,Dendrograptidae
116911,Dendrogyriidae
96084,Dendrophylliidae
70842,Dendropupidae
108073,Densastromatidae
327664,Densiporidae
60075,Dentaliidae
199593,Dentoceratidae
81181,Derbyiidae
127110,Dercetidae
119156,Dermocomidae
55528,Dermosmiliidae
144188,Deshayesitidae
116144,Desmidoporidae
84929,Desmoceratidae
168460,Desorellidae
92851,Devonopronoritidae
168407,Diadematidae
60107,Dialidae
109927,Diaperoeciidae
60108,Diaphanidae
336152,Diapleuridae
60113,Diastomatidae
111605,Diastoporidae
207130,Diaulacidae
90688,Dicellopygidae
60115,Diceratidae
95217,Diceratocephalidae
60117,Dicerocardiidae
94444,Dichocrinidae
125075,Dicoelosiidae
119354,Dicricoconidae
82400,Dictyospongiidae
130468,Dictyothyrididae
86824,Didymitidae
330498,Didymograptidae
118687,Didymosellidae
327752,Diedroporidae
83096,Dielasmatidae
82446,Dieneroceratidae
127190,Dierespongiidae
103409,Diestoceratidae
183507,Diffingiidae
110716,Digonophyllidae
133764,Dikelocephalidae
147985,Dikelokephalinidae
126853,Dimegelasmidae
80690,Dimerellidae
92948,Dimeroceratidae
124261,Dimeropygidae
132395,Dimitobelidae
92983,Dimorphoceratidae
60121,Dimyidae
86662,Dinaritidae
155139,Dinesidae
117975,Dinichthyidae
83301,Diodontidae
63295,Diogenidae
133743,Dionididae
337310,Diozoptyxidae
198343,Diphuicrinidae
227385,Diplacanthidae
82588,Diplagnostidae
281588,Diploaspididae
310911,Diploastraeidae
348833,Diplobelidae
106809,Diplocidaridae
343455,Diplocteniopsidae
226999,Diplodoselachidae
60140,Diplommatinidae
95939,Diplomoceratidae
65553,Diplomystidae
126896,Diplospirellidae
132690,Dipoloceratidae
118054,Dipteridae
168498,Disasteridae
307038,Discinidae
88791,Disciniidae
173877,Discoceratidae
