taxon_no,taxon_name
184672,Paraprosopon
7018,Boeckelericambria
7019,Haffnericambria
7020,Heymonsicambria
167483,Fortiforceps
19099,Yohoia
271151,Kootenichela
7624,Worthenella
19035,Cheloniellon
19030,Thelxiope
19039,Nathorsthia
259197,Incisua
259213,Asteusloffia
259187,Brezelina
259208,Ctenentoma
23161,Eobromidella
259186,Dronoviella
259182,Ostpreussensia
23739,Thaumatomma
22925,Aristozoe
22933,Dihogmochilina
22941,Isochilina
22955,Swartzochilina
22956,Teichochilina
22924,Anisochilina
22929,Briartina
144790,Carbonia
236999,Cuselina
236971,Cyprida
22934,Eoleperditia
22936,Gibberella
241777,Hermannina
22938,Heterochilina
22944,Leperditia
22945,Moelleritia
22951,Schrenckia
22952,Sibiritia
22926,Bingeria
22928,Bispinitia
22927,Bivia
22930,Ceratoleperditia
22931,Chevroleperditia
22932,Dalelina
22935,Eomoelleritia
22937,Herrmannina
22939,Hogmochilina
22940,Holtedahlites
22942,Ivia
22943,Kiaeria
22946,Paenaequina
22947,Paraeoleperditia
22948,Paraleperditia
22949,Paramoelleritia
22950,Pteroleperditia
22953,Sinoleperditia
22954,Sollenella
22957,Tirisochilina
22958,Tollita
22960,Yokopsis
23747,Acuprisma
23748,Amphicostella
23750,Bairdites
23751,Barychilina
23752,Beckerhealdia
23753,Bekena
23754,Birdsallella
23755,Bufina
23756,Bythocyproidea
23757,Catacoraites
23758,Chapmanites
23759,Conbathella
23761,Cooperatia
23762,Coryellites
23763,Costatia
23764,Craterellina
23766,Cyrtocyprus
23768,Diura
23769,Endolophia
23771,Eriella
23772,Eucraterellina
23773,Euglyphella
23774,Eustephanella
23775,Favulella
23779,Healdioides
23780,Heterma
23782,Hyphasmaphora
23783,Incisurella
23784,Janusella
23785,Jenningsina
23788,Longiscula
23789,Luniprisma
23790,Margniohealdia
23791,Menoeidina
23792,Octonaria
23793,Octonariellina
23796,Paracavellina
23797,Phreatura
23798,Planoria
23799,Platychilella
23800,Polyzygia
23801,Ponderodictya
23802,Poniklacella
23803,Primitivothilipsurella
23807,Robsoniella
23808,Ropolonellus
23809,Rothella
23810,Rothellina
23811,Rudderina
23812,Scalptina
23813,Semihealdioides
23814,Seminolites
23816,Stibus
23817,Strepulites
23819,Svatojonitella
23820,Thlipsura
23821,Thlipsurella
23822,Thlipsurina
23823,Thlipsuroides
23824,Thlipsuropsis
23826,Trypetera
23827,Tubulibairdia
23828,Tumidella
23829,Unicornites
23831,Varicobairdia
23832,Venula
23833,Voronina
23834,Wangiiawania
91512,Colymbosathon
23770,Eocypridina
186951,Siveterella
23740,Triadocypris
290544,Palaeocypridina
186923,Cypridinelliforma
23706,Cypridina
186945,Sylvesterella
23734,Richterina
169423,Waldeckella
186930,Nodophilomedes
270816,Nodopolycope
23725,Permopolycope
23726,Philomedes
23710,Discoidella
23727,Polycope
249783,Polycopsis
183726,Quasipolycope
186934,Swainella
23694,Bertillonella
23695,Bisulcoentomozoe
23696,Bolbozoe
23697,Boucia
23698,Calocaria
23699,Changyangnia
23700,Checontonomus
23701,Conchoecia
23702,Cyclolberis
23703,Cyprella
23704,Cypridella
23705,Cypridellina
23707,Cypridinella
23708,Cyprosina
23709,Cyprosis
23711,Elpezoe
23712,Elpinella
184690,Entomis
23713,Entomoconchus
23714,Entomoprimitia
23715,Entomozoe
23716,Fossirichterina
23717,Franklinella
23718,Kuzminaella
290016,Luprisca
23719,Macrocyprina
23720,Maternella
23721,Nehdentomis
23722,Oncotechmonus
23723,Palaeophilomedes
23724,Paraungerella
23728,Pseudoentomozoe
23729,Rabienella
23730,Rabienites
23731,Rhombina
23732,Rhomboentomozoe
23733,Richteria
23735,Steinachella
23736,Sulcuna
23737,Svarogites
23738,Thaumatocypris
23741,Triadogigantocypris
23742,Truyolsina
23743,Ungerella
23744,Vltavina
23745,Volkina
23023,Bicornella
23179,Evlanovia
23352,Mauryella
23360,Milanovskya
22970,Aechmina
22971,Aechminaria
242542,Lindsayella
23430,Paraechmina
23586,Sigynus
22987,Amphissites
23952,Buekkella
180778,Ectodemites
23277,Kegelites
264809,Kullmannissites
23377,Neoamphissites
24752,Neochilina
23434,Parahollinella
206803,Permokegelites
23478,Polytylites
23113,Cyathus
24231,Libumella
23339,Macronotella
264814,Eoarcyzona
22998,Apatobolbina
23018,Beyrichia
23034,Bolbibollia
23037,Bolbineossia
23038,Bolbiprimitia
23097,Cornikloedenia
23108,Ctenobolbinella
23123,Dibolbina
23136,Dolichoscapha
23143,Drepanellina
23221,Halliella
23237,Hibbardia
23289,Kloedenia
23300,Kyamodes
23356,Mesomphalus
246155,Mooreina
241788,Myomphalus
23385,Neoulrichia
23461,Phlyctiscapha
23489,Pseudobeyrichia
23541,Saccarchites
23632,Treposella
110788,Velibeyrichia
23673,Welleria
23675,Welleriopsis
23690,Zygobeyrichia
23355,Mennerella
23022,Bichilina
23040,Bollia
23267,Jonesites
23344,Maratia
23447,Parenthatia
187307,Solleikope
23625,Tetrastorthynx
23631,Tmemolophus
23645,Ulrichia
23679,Xystinotus
23085,Coelonella
166201,Microcoelonella
23098,Coronakirkbya
187303,Tubulikirkbya
22964,Acantonodella
22972,Aechminella
23096,Cornigella
23282,Kinnekullea
23380,Neodrepanella
23392,Nodella
23562,Scofieldia
23206,Glyptopleura
23244,Hollinella
23268,Jordanites
184057,Gortanella
264435,Gifuaparchites
24179,Indivisia
183759,Sulcoindivisia
23278,Kellettina
23281,Kindlella
23571,Semipetasus
23284,Kirkbyella
23504,Psilokirkbyella
23006,Aurikirkbya
200297,Boreokirkbya
23063,Carinaknightina
23283,Kirkbya
23291,Knightina
169385,Nodokirkbya
23530,Reviya
184819,Scutikirkbya
23578,Shleesha
23663,Villozona
23171,Eukloedenella
23287,Kloedenella
23413,Oliganisus
23196,Geffenina
24106,Geisina
23208,Glyptopleurina
24213,Kloedcytherella
24214,Knoxiella
23490,Pseudobeyrichiopsis
23549,Sargentina
23362,Miltonella
23547,Sanniolus
23979,Chamishaella
23122,Dentoparaparchites
23306,Langdaia
23439,Paraparchitella
23440,Paraparchites
24488,Proparaparchites
23545,Samarella
24597,Shemonaella
24599,Shishaella
24600,Shivaella
23451,Parvikirkbya
23248,Hungarogeisina
23468,Placidea
23099,Coryellina
187312,Nodoparaparchites
180658,Lethiersa
23537,Roundyella
22959,Ushkarella
23295,Kolmodinia
23633,Tribolbina
24367,Ovornina
23201,Gillatia
23368,Moorites
23457,Permoyoungiella
23682,Youngiella
23042,Bonnemaia
23205,Glymmatobolbina
23351,Mastigobolbina
23473,Plethobolbina
23691,Zygobolba
349298,Zygosella
22962,Abditoloculina
22963,Acanthobolbina
22965,Acravincula
22966,Actinochilina
22967,Adamczakites
22968,Adelphobolbina
22969,Admirabilinella
22973,Aetholicotoxotis
22974,Ahlintella
22975,Airina
22976,Aitilia
22977,Ajchalina
22978,Akkermites
22979,Alakolites
22980,Alaskabolbina
22981,Aloculatia
22982,Altaecypris
22983,Alveolella
22984,Amerigobolbina
22986,Amphisella
22988,Amphitoxotis
22989,Amphizona
22990,Ampletochilina
22991,Amygdalella
22992,Antiaechmia
22993,Anticostiella
22994,Antischmidtella
22995,Aparchitella
22997,Aparchitellina
22996,Aparchites
22999,Apatochilina
23000,Arcyzona
23001,Ardennea
23002,Arikloedenia
23003,Arsiriina
23004,Atterdagia
23005,Aulacopsis
23007,Australobollia
23008,Balantoides
23009,Ballardina
23010,Balticella
23011,Baltonotella
23012,Barrosina
23013,Barymepton
23014,Bassleratia
23015,Bellornatia
23016,Berdanopis
23017,Berolinella
23020,Beyrichiella
23021,Beyrichiopsis
23024,Bicornellina
23025,Bideirella
23026,Bilobatia
23027,Binodella
23028,Binodina
23029,Bisacculus
23030,Bisphenella
23031,Bodenia
23032,Bodeniella
23033,Bohemobolbina
23035,Bolbilithis
23036,Bolbina
23039,Bolbopisthia
23041,Bolliaphores
23043,Bonneprimites
23044,Borcobolbina
23045,Botulobolbina
23046,Braderupia
23047,Brephocharieis
23048,Brevibolbina
23049,Brevidorsa
23050,Brevisulcina
23051,Bromidella
23052,Bubnoffiopsis
23053,Bucerella
23054,Bucerobolbina
23055,Bulbosulculus
23056,Bullaeferum
23057,Bullatella
23058,Buregia
23059,Byrsolopsina
23060,Caprabolbina
23061,Carboprimita
23062,Cardiniferella
23064,Carinobolbina
23065,Carinokloedenia
23066,Carubaknightina
23067,Cavhithis
23068,Cavopleura
297479,Cemalia
23069,Ceratobolbina
23070,Ceratopsis
23071,Cerninella
23072,Cershiites
23073,Charitoxotis
23074,Cherskiella
23075,Chesterella
23076,Chilobolbina
23077,Chironiptrum
23078,Cincinnaticoncha
23079,Circulina
23080,Clavofabella
23081,Clavofabellina
23082,Clintiella
23083,Coelochilina
23084,Coeloenellina
23086,Colacchilina
23087,Collibolbina
23088,Concavhithis
23089,Conchoprimitella
23090,Conchoprimites
23091,Conchoprimitia
23092,Consonopsis
23093,Conspicillum
23094,Copelandella
23095,Copelandia
23100,Costaegera
23101,Costokloedenia
23102,Craspedobolbina
23103,Crenabolina
23104,Crescentilla
23106,Cryptoglytopleura
23105,Cryptophyllus
23107,Ctenobolbina
23109,Ctenoloculina
23110,Ctenonotella
23111,Cubitosulcus
23112,Cubtosulcus
23114,Cymabolbina
23115,Cystomatochilina
23116,Damiriella
23117,Dawania
23118,Decorella
23119,Deefgella
23120,Deloia
23124,Dibolbopisthia
23125,Diceratobolbina
23126,Dicranella
23127,Dictyotoxotis
23128,Dilobella
23129,Diplopsis
23133,Disculcina
23131,Disparigonya
23132,Distobolbina
23130,Disulcinoides
23134,Dogoriella
23135,Dolborella
23137,Dolichoscaphoides
23138,Domaszevicella
23139,Dominina
23140,Donellina
23141,Doraclatum
23142,Drepanella
23144,Dulkumella
23145,Duplexibollia
23146,Duplicristatia
23147,Duringia
23148,Easchmidtella
23149,Echinoprimitia
23150,Ectoprimitia
23151,Ectoprimitioides
23152,Edenopsis
23153,Effeminatopleura
23154,Egorovella
23155,Egorvellina
23156,Ehlersia
23157,Elenamarginia
23158,Ellipsella
23159,Embryotoxotis
23160,Eoaquapulex
23162,Eochilina
23163,Eocytherella
23164,Eographiodactylus
23165,Eohollina
23166,Eokloedenia
23167,Eolomatella
23168,Equicastanea
23169,Ertangia
23170,Estoniops
23172,Euprimites
23173,Euprimitia
23174,Eurekabolbina
23175,Eurocyamus
