Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
3200,3200,109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",-28,-58,-8,121,46,11,"-28.968888888889,121.76972222222",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
3200,3200,109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109701,"Anaconda Copper Mine (Murrin Murrin Copper Mine; Eulaminna Copper Mine), Leonora Shire, Western Australia, Australia",-28,-58,-8,121,46,11,"-28.968888888889,121.76972222222",Sphalerite,ZnS,ZnS,Zn S,unknown,Sphalerite,sphalerite
3200,3200,109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",-28,-55,-50,121,48,20,"-28.930555555556,121.80555555556",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
3200,3200,109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",-28,-55,-50,121,48,20,"-28.930555555556,121.80555555556",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
3200,3200,109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",-28,-55,-50,121,48,20,"-28.930555555556,121.80555555556",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
3200,3200,109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",-28,-55,-50,121,48,20,"-28.930555555556,121.80555555556",Sphalerite,ZnS,ZnS,Zn S,unknown,Sphalerite,sphalerite
2710,2700,147017,"Leinster, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-31,120,40,18,"-27.791944444444,120.67166666667",Bismuthinite,Bi<sub>2</sub>S<sub>3</sub>,Bi_2_S_3_,Bi S,unknown,Stibnite,stibnite
2710,2700,8627,"Bellevue Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-38,-23,120,33,32,"-27.639722222222,120.55888888889",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,8627,"Bellevue Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-38,-23,120,33,32,"-27.639722222222,120.55888888889",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,8627,"Bellevue Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-38,-23,120,33,32,"-27.639722222222,120.55888888889",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Pentlandite,"(Ni,Fe)<sub>9</sub>S<sub>8</sub>","(Ni,Fe)_9_S_8_",Ni Fe S,United Kingdom,Pentlandite,pentlandite
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
2710,2700,190241,"Harmony Ni Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-13,120,41,11,"-27.786944444444,120.68638888889",Violarite,Fe<sup>2+</sup>Ni<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>4</sub>,Fe^2+^Ni^3+^_2_S^2-^_4_,Fe Ni S,Canada,Spinel,linnaeite
2710,2700,122760,"Leinster Downs Ni Prospect, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-44,-30,120,40,10,"-27.741666666667,120.66944444444",Millerite,NiS,NiS,Ni S,Czech Republic,Millerite,Â 
2710,2700,122760,"Leinster Downs Ni Prospect, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-44,-30,120,40,10,"-27.741666666667,120.66944444444",Pentlandite,"(Ni,Fe)<sub>9</sub>S<sub>8</sub>","(Ni,Fe)_9_S_8_",Ni Fe S,United Kingdom,Pentlandite,pentlandite
2710,2700,122760,"Leinster Downs Ni Prospect, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-44,-30,120,40,10,"-27.741666666667,120.66944444444",Pyrite,FeS<sub>2</sub>,FeS_2_,Fe S,unknown,Pyrite,pyrite
2710,2700,122760,"Leinster Downs Ni Prospect, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-44,-30,120,40,10,"-27.741666666667,120.66944444444",Pyrrhotite,Fe<sup>2+</sup><sub>5</sub>Fe<sup>3+</sup><sub>2</sub>S<sup>2-</sup><sub>8</sub>,Fe^2+^_5_Fe^3+^_2_S^2-^_8_,Fe S,Japan,Nickeline,Â 
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Chalcopyrite,Cu<sup>1+</sup>Fe<sup>3+</sup>S<sup>2-</sup><sub>2</sub>,Cu^1+^Fe^3+^S^2-^_2_,Cu Fe S,unknown,Chalcopyrite,chalcopyrite
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Gersdorffite-P213,NiAsS,NiAsS,Ni As S,Austria,Ullmannite,Â 
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Heazlewoodite,Ni<sub>3</sub>S<sub>2</sub>,Ni_3_S_2_,Ni S,Australia,Â ,Â 
2710,2700,122759,"Perseverance Ni Mine (Agnew; Leinster), Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-48,-55,120,42,15,"-27.815277777778,120.70416666667",Millerite,NiS,NiS,Ni S,Czech Republic,Millerite,Â 
