Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Rosasite,Cu<sup>2+</sup>Zn<sup>2+</sup>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^Zn^2+^CO_3_(OH)_2_,Cu Zn C O H,Italy,Malachite,rosasite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Shannonite,Pb<sub>2</sub>O(CO<sub>3</sub>),Pb_2_O(CO_3_),Pb O C,USA,Â ,Â 
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Smithsonite,Zn<sup>2+</sup>CO<sub>3</sub>,Zn^2+^CO_3_,Zn C O,United Kingdom,Calcite,calcite
1703,1600,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",,74,"Kintore Opencut, Yancowinna Co., New South Wales, Australia",-31,-58,-7,141,27,39,"-31.968611111111,141.46083333333",Zincrosasite,Zn<sup>2+</sup><sub>2</sub>(CO<sub>3</sub>)(OH)<sub>2</sub>,Zn^2+^_2_(CO_3_)(OH)_2_,Zn Cu C O H,Namibia,Malachite,rosasite
2494,5,134789,"Blackwood Opencut, Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-57,-32,141,28,34,"-31.958888888889,141.47611111111",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
2494,5,69533,"North Mine (North Broken Hill Mine; NBH Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-57,-27,141,29,7,"-31.9575,141.48527777778",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Hoganite,Cu<sup>2+</sup>(CH<sub>3</sub>COO)<sub>2</sub>Â·H<sub>2</sub>O,Cu^2+^(CH_3_COO)_2_Â·H_2_O,Cu C H O,Australia,Â ,Â 
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Paceite,CaCu(CH<sub>3</sub>COO)<sub>2</sub>Â·6H<sub>2</sub>O,CaCu(CH_3_COO)_2_Â·6H_2_O,Ca Cu C H O,Australia,Â ,Â 
2494,5,11110,"Perilya Potosi Mine (Potosi Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Smithsonite,Zn<sup>2+</sup>CO<sub>3</sub>,Zn^2+^CO_3_,Zn C O,United Kingdom,Calcite,calcite
2494,5,10307,"Southern Operations Mine (Pasminco Mine; Perilya Mine; Consolidated Zinc Mine; CRA Mine; New Broken Hill Consolidated Mine; NBHC Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-59,-4,141,26,43,"-31.984444444444,141.44527777778",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
2494,5,10307,"Southern Operations Mine (Pasminco Mine; Perilya Mine; Consolidated Zinc Mine; CRA Mine; New Broken Hill Consolidated Mine; NBHC Mine), Yancowinna Co., New South Wales, Australia",Continental Extension,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-59,-4,141,26,43,"-31.984444444444,141.44527777778",Rhodochrosite,Mn<sup>2+</sup>CO<sub>3</sub>,Mn^2+^CO_3_,Mn C O,Romania,Calcite,calcite
2494,5,105886,"Zinc Corporation Mine (ZC Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-58,-42,141,27,6,"-31.978333333333,141.45166666667",Calcite,CaCO<sub>3</sub>,CaCO_3_,Ca C O,unknown,Calcite,calcite
2494,5,105886,"Zinc Corporation Mine (ZC Mine), Yancowinna Co., New South Wales, Australia",,72,"Broken Hill, Yancowinna Co., New South Wales, Australia",-31,-58,-42,141,27,6,"-31.978333333333,141.45166666667",Rhodochrosite,Mn<sup>2+</sup>CO<sub>3</sub>,Mn^2+^CO_3_,Mn C O,Romania,Calcite,calcite
1703,1697,192420,"Ballarat North Mine, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Siderite,Fe<sup>2+</sup>CO<sub>3</sub>,Fe^2+^CO_3_,Fe C O,unknown,Calcite,calcite
1703,1697,192671,"La Sparanza Mine, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
1703,1697,192664,"Forners Prospect, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Azurite,Cu<sup>2+</sup><sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>(OH)<sub>2</sub>,Cu^2+^_3_(CO_3_)_2_(OH)_2_,Cu C O H,France,Â ,Â 
1703,1697,192664,"Forners Prospect, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Malachite,Cu<sup>2+</sup><sub>2</sub>CO<sub>3</sub>(OH)<sub>2</sub>,Cu^2+^_2_CO_3_(OH)_2_,Cu C O H,unknown,Malachite,rosasite
1703,1697,96,"Melbourne Rockwell Mine, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",-32,-5,0,141,33,0,"-32.083333333333,141.55",Smithsonite,Zn<sup>2+</sup>CO<sub>3</sub>,Zn^2+^CO_3_,Zn C O,United Kingdom,Calcite,calcite
1703,1697,159469,"Apollyon Mine, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1697,159468,"New Year, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Cerussite,PbCO<sub>3</sub>,PbCO_3_,Pb C O,Italy,Aragonite,aragonite
1703,1697,159468,"New Year, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Phosgenite,Pb<sub>2</sub>CO<sub>3</sub>Cl<sub>2</sub>,Pb_2_CO_3_Cl_2_,Pb C O Cl,unknown,Â ,Â 
1703,1697,159468,"New Year, Yancowinna Co., New South Wales, Australia",,186665,"Sterling Vale, Yancowinna Co., New South Wales, Australia",0,0,0,0,0,0,"0,0",Siderite,Fe<sup>2+</sup>CO<sub>3</sub>,Fe^2+^CO_3_,Fe C O,unknown,Calcite,calcite
