Max Age (Ma),Min Age (Ma),mindat ID,Locality containing Mineral,Tectonic Settings,Dated Locality ID,Dated Locality (Max Age),Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Decimal Degree,Mineral Name (plain),RRUFF Chemistry (plain),RRUFF Chemistry (concise),Chemistry Elements,Country of Type Locality,Structural Groupname,Fleischers Groupname
2680,2600,240044,"Randalls Gold Mine, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2692,2674,203489,"Ora Banda, Kalgoorlie-Boulder Shire, Western Australia, Australia",,203489,"Ora Banda, Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-29,-5,121,3,17,"-30.484722222222,121.05472222222",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2680,2600,185497,"SM7 Pit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-20,0,121,0,0,"-30.333333333333,121",Ernienickelite,Ni<sup>2+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>7</sub>Â·3H<sub>2</sub>O,Ni^2+^Mn^4+^_3_O_7_Â·3H_2_O,Ni Mn O H,Australia,Â ,chalcophanite
2680,2600,185497,"SM7 Pit, Kalgoorlie-Boulder Shire, Western Australia, Australia",,223,"Kalgoorlie-Boulder Shire, Western Australia, Australia",-30,-20,0,121,0,0,"-30.333333333333,121",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
2810,2810,146983,"Laverton, Laverton Shire, Western Australia, Australia",,26545,"Windarra Ni Mine (Mount Windarra; Windarra; Discovery Gossan; Poseidon Deposit), Laverton Shire, Western Australia, Australia",-28,-37,-30,122,25,20,"-28.625,122.42222222222",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
2810,2810,26545,"Windarra Ni Mine (Mount Windarra; Windarra; Discovery Gossan; Poseidon Deposit), Laverton Shire, Western Australia, Australia",,26545,"Windarra Ni Mine (Mount Windarra; Windarra; Discovery Gossan; Poseidon Deposit), Laverton Shire, Western Australia, Australia",-28,-35,-57,122,16,15,"-28.599166666667,122.27083333333",Goethite,Fe<sup>3+</sup>O(OH),Fe^3+^O(OH),Fe O H,Germany,Â ,diaspore
2810,2810,65810,"Woodline Well Ni Prospect, Laverton Shire, Western Australia, Australia",,26545,"Windarra Ni Mine (Mount Windarra; Windarra; Discovery Gossan; Poseidon Deposit), Laverton Shire, Western Australia, Australia",0,0,0,0,0,0,"0,0",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2064,2064,146192,"Mount Weld Mine, Laverton Shire, Western Australia, Australia",,146192,"Mount Weld Mine, Laverton Shire, Western Australia, Australia",-28,-51,-36,122,32,52,"-28.86,122.54777777778",Cerianite-(Ce),CeO<sub>2</sub>,CeO_2_,Ce O,Canada,Fluorite,uraninite
2710,2700,268586,"Cox-Crusader Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-5,-17,120,28,44,"-28.088055555556,120.47888888889",Magnetite,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>O<sub>4</sub>,Fe^2+^Fe^3+^_2_O_4_,Fe O,unknown,Spinel,spinel
2710,2700,240064,"Redeemer Gold Mine, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-28,-3,-41,120,28,59,"-28.061388888889,120.48305555556",Ilmenite,Fe<sup>2+</sup>Ti<sup>4+</sup>O<sub>3</sub>,Fe^2+^Ti^4+^O_3_,Fe Ti O,Russia,Corundum,ilmenite
3200,3200,109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",Oceanic Arc (Subduction),109702,"Nangaroo Copper Mine, Leonora Shire, Western Australia, Australia",-28,-55,-50,121,48,20,"-28.930555555556,121.80555555556",Atacamite,Cu<sup>2+</sup><sub>2</sub>Cl(OH)<sub>3</sub>,Cu^2+^_2_Cl(OH)_3_,Cu Cl O H,Chile,Atacamite,atacamite
2710,2700,147017,"Leinster, Leonora Shire, Western Australia, Australia",,205671,"Agnew Gold Mine (Waroonga Underground Complex; Waroonga; Waroonga South; 450 South; EMU; Woronga), Leonora Shire, Western Australia, Australia",-27,-47,-31,120,40,18,"-27.791944444444,120.67166666667",Bismoclite,BiOCl,BiOCl,Bi O Cl,South Africa,Matlockite,matlockite
